Package                           Version      Latest      Type
sphinxcontrib-qthelp              1.0.3        2.0.0       wheel
sphinxcontrib-serializinghtml     1.1.5        2.0.0       wheel
spyder                            5.4.3        6.0.3       wheel
spyder-kernels                    2.4.4        3.0.2       wheel
SQLAlchemy                        2.0.25       2.0.36      wheel
stack-data                        0.2.0        0.6.3       wheel
statsmodels                       0.14.0       0.14.4      wheel
streamlit                         1.30.0       1.41.1      wheel
sympy                             1.12         1.13.3      wheel
tables                            3.9.2        3.10.1      wheel
tblib                             1.7.0        3.0.0       wheel
tenacity                          8.2.2        9.0.0       wheel
terminado                         0.17.1       0.18.1      wheel
textdistance                      4.2.1        4.6.3       wheel
threadpoolctl                     2.2.0        3.5.0       wheel
tifffile                          2023.4.12    2024.12.12  wheel
tinycss2                          1.2.1        1.4.0       wheel
tldextract                        3.2.0        5.1.3       wheel
tomlkit                           0.11.1       0.13.2      wheel
toolz                             0.12.0       1.0.0       wheel
tornado                           6.3.3        6.4.2       wheel
tqdm                              4.65.0       4.67.1      wheel
traitlets                         5.7.1        5.14.3      wheel
truststore                        0.8.0        0.10.0      wheel
Twisted                           23.10.0      24.11.0     wheel
twisted-iocpsupport               1.0.2        1.0.4       wheel
typing_extensions                 4.9.0        4.12.2      wheel
tzdata                            2023.3       2024.2      wheel
tzlocal                           2.1          5.2         wheel
uc-micro-py                       1.0.1        1.0.3       wheel
ujson                             5.4.0        5.10.0      wheel
Unidecode                         1.2.0        1.3.8       wheel
urllib3                           1.26.18      2.3.0       wheel
validators                        0.18.2       0.34.0      wheel
w3lib                             2.1.2        2.2.1       wheel
watchdog                          2.1.6        6.0.0       wheel
wcwidth                           0.2.5        0.2.13      wheel
websocket-client                  0.58.0       1.8.0       wheel
websockets                        10.4         14.1        wheel
Werkzeug                          2.2.3        3.1.3       wheel
whatthepatch                      1.0.2        1.0.7       wheel
wheel                             0.41.2       0.45.1      wheel
widgetsnbextension                3.5.2        4.0.13      wheel
wrapt                             1.14.1       1.17.0      wheel
xarray                            2023.6.0     2024.11.0   wheel
xlwings                           0.29.1       0.33.5      wheel
xyzservices                       2022.9.0     2024.9.0    wheel
yapf                              0.31.0       0.43.0      wheel
yarl                              1.9.3        1.18.3      wheel
zipp                              3.17.0       3.21.0      wheel
zope.interface                    5.4.0        7.2         wheel
zstandard                         0.19.0       0.23.0      wheel
